"","Phylum","Class","Order","Family","Genus","Species","scientificName","RI","BU","TO","HS","IA","Somme","Spring","Summer","Fall","Winter","Somme.1","Common.Name","Trophic.Level","Max.Size..cm..Total.or.standard.length...fish.only","Vulnerability.Category","X1.1.S1..Vulnerable.Species","X1.2.S1..Upper.level.Predators","X1.2.S2..Forage.Species","X1.2.S3..Nutrient.Transporting.Species","X1.2.S4..Habitat.forming.Species","X1.5.S1.Any.CC","Global.CC","National.CC","Regional.CC","Recommended.CP"
"65","Chordata","Actinopteri","Perciformes","Centrarchidae","Lepomis","gibbosus","Lepomis gibbosus",0,1,1,0,1,3,1,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Chordata","Actinopteri","Scorpaeniformes","Stichaeidae","Leptoclinus","maculatus","Leptoclinus maculatus",1,0,1,1,1,4,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Chordata","Actinopteri","Scorpaeniformes","Cottidae","Leptocottus","armatus","Leptocottus armatus",1,1,1,1,1,5,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus","schmidti","Leuroglossus schmidti",1,1,1,1,1,5,1,1,1,1,4,"Northern Smoothtongue","3.1","20","M-H","1",0,"2","*","-","*","*","*","*","X"
"69","Chordata","Actinopteri","Scorpaeniformes","Liparidae","Liparis","cyclopus","Liparis cyclopus",1,0,1,1,1,4,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Chordata","Actinopteri","Scorpaeniformes","Liparidae","Liparis","fabricii","Liparis fabricii",1,1,0,0,0,2,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chordata","Actinopteri","Scorpaeniformes","Liparidae","Liparis","florae","Liparis florae",1,0,1,0,1,3,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Chordata","Actinopteri","Scorpaeniformes","Liparidae","Liparis","gibbus","Liparis gibbus",1,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Chordata","Actinopteri","Scorpaeniformes","Liparidae","Liparis","mucosus","Liparis mucosus",0,0,1,0,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Chordata","Actinopteri","Scorpaeniformes","Liparidae","Lipariscus","nanus","Lipariscus nanus",1,1,0,0,1,3,1,0,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
