scientificName,CommonName,FullName,AbbreviatedName,FullNameAbbreviated
Careproctus simus,Snailfish,Snailfish (Careproctus simus),C. simus,Snailfish (C. simus)
Hexagrammos lagocephalus,Rock greenling,Rock greenling (Hexagrammos lagocephalus),H. lagocephalus,Rock greenling (H. lagocephalus)
Hemilepidotus jordani,yellow Irish lord,yellow Irish lord (Hemilepidotus jordani),H. jordani,yellow Irish lord (H. jordani)
Lumpenella longirostris,Longsnout prickleback,Longsnout prickleback (Lumpenella longirostris),L. longirostris,Longsnout prickleback (L. longirostris)
Phoca largha,Spotted seal,Spotted seal (Phoca largha),P. largha,Spotted seal (P. largha)
Bathyagonus pentacanthus,Bigeye poacher,Bigeye poacher (Bathyagonus pentacanthus),B. pentacanthus,Bigeye poacher (B. pentacanthus)
Dasycottus setiger,Spinyhead sculptin,Spinyhead sculpin (Dasycottus setiger),D. setiger,Spinyhead sculptin (D. setiger)
Icelinus fimbriatus,Fringed sculpin,Fringed sculpin (Icelinus fimbriatus),I. fimbriatus,Fringed sculpin (I. fimbriatus)
Lipariscus nanus,Pygmy snailfish,Pygmy snailfish (Lipariscus nanus),L. nanus,Pygmy snailfish (L. nanus)
Myoxocephalus polyacanthocephalus,Great sculpin,Great sculpin (Myoxocephalus polyacanthocephalus),M. polyacanthocephalus,Great sculpin (M. polyacanthocephalus)
Paraliparis rosaceus,Pink snailfish,Pink snailfish (Paraliparis rosaceus),P. rosaceus,Pink snailfish (P. rosaceus)
Rhinoliparis barbulifer,Longnose snailfish,Longnose snailfish (Rhinoliparis barbulifer),R. barbulifer,Longnose snailfish (R. barbulifer)
Tarletonbeania taylori,North Pacific lanternfish,North Pacific lanternfish (Tarletonbeania taylori),T. taylori,North Pacific lanternfish (T. taylori)
Trichocottus brashnikovi,Hairhead sculpin,Hairhead sculpin (Trichocottus brashnikovi),T. brashnikovi,Hairhead sculpin (T. brashnikovi)
Xeneretmus latifrons,Blacktip poacher,Blacktip poacher (Xeneretmus latifrons),X. latifrons,Blacktip poacher (X. latifrons)
Lagenorhynchus obliquidens,Pacific white-sided dolphin,Pacific white-sided dolphin (Lagenorhynchus obliquidens),L. obliquidens,Pacific white-sided dolphin (L. obliquidens)
Oncorhynchus clarkii,Cutthroat trout,Cutthroat trout (Oncorhynchus clarkii),O. clarkii,Cutthroat trout (O. clarkii)
Balaenoptera musculus,Blue whale,Blue whale (Balaenoptera musculus),B. musculus,Blue whale (B. musculus)
Spirinchus lanceolatus,Shishamo,Shishamo (Spirinchus lanceolatus),S. lanceolatus,Shishamo (S. lanceolatus)
Lycodes polaris,Canadian eelpout,Canadian eelpout (Lycodes polaris),L. polaris,Canadian eelpout (L. polaris)
Myoxocephalus aenaeas,Grubby,Grubby (Myoxocephalus aenaeas),M. aenaeas,Grubby (M. aenaeas)
Tautogolabrus adspersus,Cunner,Cunner (Tautogolabrus adspersus),T. adspersus,Cunner (T. adspersus)
Squalius cephalus,Chub,Chub (Squalius cephalus),S. cephalus,Chub (S. cephalus)
Raja rhina,Longnose skate,Longnose skate (Raja rhina),R. rhina,Longnose skate (R. rhina)
Leuciscus idus,Ide,Ide (Leuciscus idus),L. idus,Ide (L. idus)
Alosa pseudoharengus,Alewife,Alewife (Alosa pseudoharengus),A. pseudoharengus,Alewife (A. pseudoharengus)
Careproctus mederi,Snailfish,Snailfish (Careproctus mederi),C. mederi,Snailfish (C. mederi)
Esox lucius,Northern pike,Northern pike (Esox lucius),E. lucius,Northern pike (E. lucius)
Paracottus knerii,Stone sculpin,Stone sculpin (Paracottus knerii),P. knerii,Stone sculpin (P. knerii)
Gasterosteus nipponicus,Stickleback,Stickleback (Gasterosteus nipponicus),G. nipponicus,Stickleback (G. nipponicus)
Osmerus eperlanus,European smelt,European smelt (Osmerus eperlanus),O. eperlanus,European smelt (O. eperlanus)
Clupea harengus,Atlantic herring,Atlantic herring (Clupea harengus),C. harengus,Atlantic herring (C. harengus)
Squalus acanthias,Spiny dogfish,Spiny dogfish (Squalus acanthias),S. acanthias,Spiny dogfish (S. acanthias)
Batrachocottus baicalensis,Bighead sculpin,Bighead sculpin (Batrachocottus baicalensis),B. baicalensis,Bighead sculpin (B. baicalensis)
Scomber scombrus,Atlantic mackerel,Atlantic mackerel (Scomber scombrus),S. scombrus,Atlantic mackerel (S. scombrus)
