Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
C2A2BPMAU1,Pseudotsuga menziesii - Pinus contorta / Arctostaphylos uva-ursi Moist Submaritime,Douglas-fir - lodgepole pine / kinnikinnick Moist Submaritime,CWHms1/02; CWHms2/02,S3 (2004),Blue,GNR,N/A,N/A,,,,
C1A9CPMPC1,Pseudotsuga menziesii - Pinus contorta / Cladina spp.,Douglas-fir - lodgepole pine / reindeer lichens,CWHxm2/02,S2 (2004),Red,GNR,N/A,N/A,,South Central Coast LUO,,
C2A2BPCCL1,Pseudotsuga menziesii - Pinus contorta / Cladonia spp.,Douglas-fir - lodgepole pine / clad lichens,SBSdw1/02; SBSdw2/02; SBSdw3/02; SBSmh/02; SBSmh/03,S3 (2014),Blue,GNR,N/A,N/A,,,,
C2A2BPPCR1,Pseudotsuga menziesii - Pinus ponderosa / Calamagrostis rubescens,Douglas-fir - ponderosa pine / pinegrass,IDFdc/03; IDFdk2/03; IDFxc/01; IDFxc/05; IDFxh1/01; IDFxh2/01; IDFxh2/05,S3 (2004),Blue,GNR,N/A,N/A,,,Y,
C2A2BPPCV1,Pseudotsuga menziesii - Pinus ponderosa / Ceanothus velutinus,Douglas-fir - ponderosa pine / snowbrush,IDFxh1/04,S3 (2004),Blue,GNR,N/A,N/A,,,,
C2A2BPPFI1,Pseudotsuga menziesii - Pinus ponderosa / Festuca idahoensis,Douglas-fir - ponderosa pine / Idaho fescue,IDFxh1/05,S3 (2004),Blue,GNR,N/A,N/A,,,Y,
C2A2BPPPM1,Pseudotsuga menziesii - Pinus ponderosa / Physocarpus malvaceus,Douglas-fir - ponderosa pine / mallow ninebark,PPdh1/04; PPxh3/,S1 (2004),Red,GNR,N/A,N/A,,,,
C2A2BPCAS1,Pseudotsuga menziesii - Pinus ponderosa / Pseudoroegneria spicata,Douglas-fir - ponderosa pine / bluebunch wheatgrass,IDFxc/02; IDFxc/03; IDFxh1/02; IDFxh2/02; IDFxh2/03; IDFxw/04,S3 (2016),Blue,GNR,N/A,N/A,,,,
CEBC003002,Pseudotsuga menziesii - Pinus ponderosa / Pseudoroegneria spicata - Calamagrostis rubescens,Douglas-fir - ponderosa pine / bluebunch wheatgrass - pinegrass,IDFdc/02; IDFdk2/02; IDFdm1/03; IDFxc/04; IDFxh1/03; IDFxh2/04; IDFxw/02,S3 (2004),Blue,GNR,N/A,N/A,,,,
C2A2BPSHS1,Pseudotsuga menziesii / Pleurozium schreberi - Hylocomium splendens,Douglas-fir / red-stemmed feathermoss - step moss,IDFdk3/05; IDFdk4/07; IDFxm/05; IDFxm/06; SBSdk/04,S3 (2004),Blue,G3,N/A,N/A,,,,
C1A9CPMPM1,Pseudotsuga menziesii / Polystichum munitum,Douglas-fir / sword fern,CWHdm/04; CWHxm1/04; CWHxm2/04,S2 (2019),Red,G2G4,N/A,N/A,,South Central Coast LUO,,
C2A2BASCR1,Pseudotsuga menziesii / Pseudoroegneria spicata - Calamagrostis rubescens,Douglas-fir / bluebunch wheatgrass - pinegrass,IDFdk4/05,S3 (2004),Blue,GNR,N/A,N/A,,,,
CEBC003124,Pseudotsuga menziesii / Pseudoroegneria spicata / Hylocomium splendens,Douglas-fir / bluebunch wheatgrass / step moss,BGxh3/110; BGxw2/111,S3 (2015),Blue,GNR,N/A,N/A,,,,
CEBC000066,Pseudotsuga menziesii / Rosa acicularis / Aralia nudicaulis,Douglas-fir / prickly rose / wild sarsaparilla,IDFxm/07,S2 (2004),Red,GNR,N/A,N/A,,,,
